adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/6YjnTRBz704LF1uJ3ZC4wsS9T8r.jpg,"[28, 80, 53]",1290821,en,Shelter,"과거를 등진 채 침묵의 섬에 숨어든 남자, 아이를 구한 순간 잠들었던 본능이 깨어난다.  스코틀랜드의 외딴 섬 lighthouse에서 개 한 마리와 함께 은둔하며 살아가는 전직 특수 요원 메이슨. 그는 술과 체스, 그리고 그림으로 과거의 잔혹한 기억을 지우며 스스로를 고립시킨다. 유일한 바깥세상과의 연결고리는 정기적으로 보급품을 나르는 어린 소녀 제시뿐이다. 어느 날, 거센 폭풍우 속에서 목숨을 잃을 위기에 처한 제시를 구하기 위해 그는 평생 지켜온 금기를 깨고 세상 밖으로 모습을 드러낸다. 단 한 번의 자비로운 선택은 도미노처럼 거대한 위협을 불러오고, 메이슨은 자신을 뒤쫓는 과거의 그림자로부터 아이를 지키기 위해 런던의 어두운 지하 세계로 뛰어든다. 가장 소중한 것을 지키기 위해 가장 잔인해져야만 하는 남자의 처절한 생존 여정이 시작된다.",511.2021,/buPFnHZ3xQy6vZEHxbHgL1Pc6CR.jpg,2026-01-28,쉘터,False,6.7,187
False,/hYgUkH7TusddHRtelj53I6gFOWR.jpg,"[28, 53]",799882,en,The Bluff,"전에 모시던 선장이 복수심을 품고 나타나자, 외딴섬에서 평온하게 지내던 여자의 삶은 산산조각 난다. 노련한 해적이었던 여자는 피로 물든 과거를 마주하고 치명적인 개인기를 발휘하여 무자비한 포위전으로부터 가족을 지켜야만 한다.",351.7914,/al8uU4GVyxvYZlTD4n4HYcxWFDz.jpg,2026-02-17,더 블러프,False,6.015,134
False,/bAFnjhweXxHUWjmFzMTuX12Ud3b.jpg,[53],1199193,en,Pose,,305.1047,/qhyyyWrHUbl6QG4udAJj17CBa5.jpg,2026-02-25,Pose,False,8.2,10
False,/hz7TdCrpLLt2Dz7S3PS2HG9rpAO.jpg,"[27, 9648, 80]",1159559,en,Scream 7,,231.4379,/jjyuk0edLiW8vOSnlfwWCCLpbh5.jpg,2026-02-25,스크림 7,False,5.978,180
False,/nTbO6UF944b0VZrgypMK5rFYRSW.jpg,"[9648, 18, 27]",680493,en,Return to Silent Hill,"침묵이 지배하는 안개 속 도시, 잃어버린 사랑을 찾기 위한 잔혹한 여정이 다시 시작된다. 기억 속에서 지워지지 않는 옛 연인 메리를 되찾기 위해 제임스는 정체 모를 편지에 이끌려 다시 사일런트 힐로 향한다. 하지만 그를 기다리고 있는 것은 낯익으면서도 낯선 공포, 그리고 기괴하게 뒤틀린 괴물들이 장악한 심연의 세계다. 안개 너머에 숨겨진 진실에 다가갈수록 제임스는 자신의 어두운 내면과 마주하게 되고, 현실과 악몽의 경계는 점점 무너지기 시작한다. 과연 그는 이 지옥 같은 도시에서 메리를 구해내고 무사히 탈출할 수 있을 것인가, 아니면 영원히 안개 속에 갇히게 될 것인가.",212.9702,/lSzmchPGjy6gjLMCpousS3vQAjS.jpg,2026-01-21,리턴 투 사일런트 힐,False,5.0,224
False,/7HKpc11uQfxnw0Y8tRUYn1fsKqE.jpg,"[878, 28, 53]",1236153,en,Mercy,모든 진실을 데이터로만 판단하는 냉혹한 AI 재판 시스템 ‘MERCY’에 맞서 사형을 피하기 위해 90분 안에 자신의 무죄를 증명해야 하는 형사(크리스 프랫)의 숨 막히는 반격을 그린 타임리미트 스릴러,190.2171,/fQ8Q3VAybCt6fHFJQD0kwd5azNL.jpg,2026-01-20,노 머시: 90분,False,7.112,619
False,/1gLFGrxHqQebqLWpISmoFR6XWtJ.jpg,"[28, 53]",1088434,en,Hellfire,,186.9422,/tQti9QTf13MfzNpXguijgNh7ojE.jpg,2026-02-05,Hellfire,False,7.167,42
False,/vOV4Qy3g791OTzEndiSGoJwuI2M.jpg,"[53, 28, 12, 18, 14]",1401778,en,Turbulence,"잭과 에미는 관계를 회복하기 위해 이탈리아 돌로미티를 가로지르는 열기구 여행을 떠나기로 한다. 파일럿 해리와 제3의 승객 줄리아가 합류하면서, 상공 5,000미터에서 그들이 상상조차 하지 못한 일들이 벌어지기 시작한다.",212.9034,/jRuiKL4S9UpLma2ZlM47xIu2gbe.jpg,2025-11-26,터뷸런스,False,5.6,54
False,/ImIRPOvlxKC1jsKld5ZEpxmvmV.jpg,"[28, 80, 53]",1461181,en,Hierarchy,,184.003,/3KVq24NkOn98nrSEAFphnRWVWNd.jpg,2025-08-15,Hierarchy,False,5.8,9
False,/hoqE4Saa4fQyWhUxws2Lw4qv2oz.jpg,[],937101,zh,動物感傷の清晨,"사회적으로 고립된 음식 배달원 마쓰이는 다정하고 사랑스러운 칭에게 푹 빠져 따뜻함을 얻고, 이 삶이 지속되기를 갈망한다. 그녀는 어느 날 홀연히 사라지고 마쓰이는 깊은 절망에 빠져 일상의 균형을 깨뜨리기 시작한다. 시간이 흘러 돼지 사육장에서 일하던 그는 사고로 반신불수가 되고, 그녀와 마주하게 되는데…",164.011,/dUcIdXXBBFhJcvnNhdpcxHN2UTL.jpg,2023-10-13,쾌락의 법칙,False,7.333,3
